,sex,age,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,activities,higher,health,absences,M1,M2,M3
0,0,18,1,4,4,0,4,2,2,0,0,1,3,6,1,1,1
1,0,17,1,1,1,0,2,1,2,0,0,1,3,4,1,1,1
2,0,15,1,1,1,0,2,1,2,3,0,1,3,10,1,1,1
3,0,15,1,4,2,1,3,1,3,0,1,1,5,2,2,2,2
4,0,16,1,3,3,2,2,1,2,0,0,1,5,4,1,1,1
5,1,16,1,4,3,3,2,1,2,0,1,1,5,10,2,2,2
6,1,16,1,2,2,2,2,1,2,0,0,1,3,0,1,1,1
7,0,17,1,4,4,2,4,2,2,0,0,1,1,6,1,1,1
8,1,15,1,3,2,3,2,1,2,0,0,1,1,0,2,2,2
9,1,15,1,3,4,2,2,1,2,0,1,1,5,0,2,2,2
10,0,15,1,4,4,4,1,1,2,0,0,1,2,0,1,1,1
11,0,15,1,2,1,3,2,3,3,0,1,1,4,4,1,1,1
12,1,15,1,4,4,1,3,1,1,0,1,1,5,2,2,2,2
13,1,15,1,4,3,4,2,2,2,0,0,1,3,2,1,1,1
14,1,15,1,2,2,2,2,1,3,0,0,1,3,0,2,2,2
15,0,16,1,4,4,1,2,1,1,0,0,1,2,4,2,2,2
16,0,16,1,4,4,3,3,1,3,0,1,1,2,6,1,2,2
17,0,16,1,3,3,2,2,3,2,0,1,1,4,4,1,1,1
18,1,17,1,3,2,3,3,1,1,3,1,1,5,16,1,1,1
19,1,16,1,4,3,1,2,1,1,0,1,1,5,4,1,1,1
20,1,15,1,4,3,4,2,1,2,0,0,1,1,0,1,2,2
21,1,15,1,4,4,1,1,1,1,0,0,1,5,0,1,2,2
22,1,16,1,4,2,4,2,1,2,0,1,1,5,2,2,2,2
23,1,16,1,2,2,2,2,2,2,0,1,1,5,0,1,1,1
24,0,15,0,2,4,3,1,1,3,0,1,1,5,2,1,1,1
25,0,16,1,2,2,3,3,1,1,2,0,1,5,14,1,1,1
26,1,15,1,2,2,2,2,1,1,0,0,1,5,2,1,1,1
27,1,15,1,4,2,1,3,1,1,0,0,1,1,4,2,2,2
28,1,16,1,3,4,3,2,1,2,0,1,1,5,4,1,1,1
29,1,16,1,4,4,4,4,1,2,0,1,1,5,16,1,1,1
30,1,15,1,4,4,1,3,1,2,0,0,1,5,0,1,1,1
31,1,15,1,4,4,3,3,2,2,0,1,1,5,0,2,2,2
32,1,15,0,4,3,4,0,1,2,0,1,1,5,0,2,2,2
33,1,15,1,3,3,2,2,1,2,0,1,1,2,0,1,1,1
34,1,16,1,3,2,2,2,1,1,0,0,1,5,0,1,2,2
35,0,15,1,2,3,2,2,2,1,0,1,1,5,0,1,1,1
36,1,15,1,4,3,4,3,1,3,0,1,1,4,2,2,2,2
37,1,16,0,4,4,2,4,2,3,0,1,1,5,7,2,2,2
38,0,15,0,3,4,3,1,1,3,0,1,1,5,2,1,1,1
39,0,15,0,2,2,0,2,1,1,0,1,1,2,8,2,1,1
40,0,16,1,2,2,2,2,2,2,1,1,1,3,25,1,1,1
41,1,15,1,4,4,4,2,1,1,0,0,1,5,8,1,1,1
42,1,15,1,4,4,3,4,1,2,0,1,1,5,2,2,2,2
43,1,15,1,2,2,3,3,1,1,0,0,1,1,0,1,1,1
44,0,16,1,2,2,2,0,2,2,1,1,1,5,14,1,1,1
45,0,15,1,4,3,2,2,1,2,0,1,1,5,8,1,1,1
46,0,16,1,3,3,2,3,1,2,0,0,1,3,12,1,1,1
47,1,16,1,4,3,1,3,1,4,0,1,1,2,4,2,2,2
48,1,15,1,4,2,4,2,1,2,0,0,1,5,2,2,2,2
49,0,15,1,4,4,3,4,1,2,1,1,1,3,2,1,1,1
50,0,16,1,2,2,3,3,3,2,0,0,1,4,2,1,1,1
51,0,15,1,4,2,1,2,1,2,0,0,1,5,2,1,1,1
52,1,15,1,4,2,1,1,2,1,1,0,1,5,6,1,1,1
53,0,15,1,4,4,3,3,1,1,0,0,1,5,0,1,1,1
54,0,15,1,3,3,2,2,1,1,0,0,1,1,6,1,1,1
55,0,16,1,2,1,2,2,1,2,0,1,1,2,8,1,1,1
56,0,15,1,4,3,3,3,1,2,0,1,1,1,0,2,2,2
57,1,15,1,4,4,4,1,1,2,0,1,1,5,4,2,2,2
58,1,15,1,1,2,2,0,1,2,0,1,1,5,2,1,1,1
59,0,16,1,4,2,3,2,1,2,0,0,1,5,2,2,2,2
60,0,16,0,4,4,1,4,1,2,0,1,1,4,6,1,1,1
61,0,16,1,1,1,3,3,4,1,0,1,1,5,6,1,1,1
62,0,16,1,1,2,2,3,1,2,0,1,1,1,4,1,1,1
63,0,16,1,4,3,4,1,1,3,0,1,1,4,2,1,1,1
64,0,15,1,4,3,3,3,1,2,0,1,1,2,0,1,1,1
65,0,16,1,4,3,4,3,3,2,0,1,1,1,2,2,2,2
66,1,15,1,4,4,2,3,1,4,0,1,1,3,4,1,1,1
67,0,16,1,3,1,3,2,1,4,0,0,1,5,4,1,1,1
68,0,15,0,2,2,1,3,2,2,0,0,1,4,2,1,1,1
69,0,15,0,3,1,2,2,2,4,0,0,1,3,12,2,2,2
