,age,Medu,Fedu,traveltime,studytime,failures,health,absences,M1,M2,M3,sex_F,sex_M,address_R,address_U,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,activities_no,activities_yes,higher_no,higher_yes
0,18,4,4,2,2,0,3,6,25,30,30,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
1,17,1,1,1,2,0,3,4,25,25,30,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2,15,1,1,1,2,3,3,10,35,40,50,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
3,15,4,2,1,3,0,5,2,75,70,75,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
4,16,3,3,1,2,0,5,4,30,50,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
5,16,4,3,1,2,0,5,10,75,75,75,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
6,16,2,2,1,2,0,3,0,60,60,55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
7,17,4,4,2,2,0,1,6,30,25,30,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
8,15,3,2,1,2,0,1,0,80,90,95,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
9,15,3,4,1,2,0,5,0,70,75,75,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
10,15,4,4,1,2,0,2,0,50,40,45,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
11,15,2,1,3,3,0,4,4,50,60,60,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
12,15,4,4,1,1,0,5,2,70,70,70,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
13,15,4,3,2,2,0,3,2,50,50,55,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
14,15,2,2,1,3,0,3,0,70,80,80,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
15,16,4,4,1,1,0,2,4,70,70,70,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
16,16,4,4,1,3,0,2,6,65,70,70,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
17,16,3,3,3,2,0,4,4,40,50,50,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
18,17,3,2,1,1,3,5,16,30,25,25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
19,16,4,3,1,1,0,5,4,40,50,50,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
20,15,4,3,1,2,0,1,0,65,70,75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
21,15,4,4,1,1,0,5,0,60,75,75,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
22,16,4,2,1,2,0,5,2,75,75,80,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
23,16,2,2,2,2,0,5,0,65,65,60,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
24,15,2,4,1,3,0,5,2,50,45,40,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
25,16,2,2,1,1,2,5,14,30,45,40,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
26,15,2,2,1,1,0,5,2,60,60,55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
27,15,4,2,1,1,0,1,4,75,80,75,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
28,16,3,4,1,2,0,5,4,55,55,55,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
29,16,4,4,1,2,0,5,16,50,60,55,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
30,15,4,4,1,2,0,5,0,45,55,60,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
31,15,4,4,2,2,0,5,0,85,80,85,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
32,15,4,3,1,2,0,5,0,85,80,80,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
33,15,3,3,1,2,0,2,0,40,50,60,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
34,16,3,2,1,1,0,5,0,60,70,75,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
35,15,2,3,2,1,0,5,0,40,35,30,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
36,15,4,3,1,3,0,4,2,75,80,90,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
37,16,4,4,2,3,0,5,7,75,80,75,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
38,15,3,4,1,3,0,5,2,60,60,55,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
39,15,2,2,1,1,0,2,8,70,65,65,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
40,16,2,2,2,2,1,3,25,35,50,55,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41,15,4,4,1,1,0,5,8,60,60,60,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
42,15,4,4,1,2,0,5,2,95,90,90,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
43,15,2,2,1,1,0,1,0,40,40,55,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
44,16,2,2,2,2,1,5,14,50,50,45,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
45,15,4,3,1,2,0,5,8,40,40,30,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
46,16,3,3,1,2,0,3,12,55,60,55,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
47,16,4,3,1,4,0,2,4,95,95,100,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
48,15,4,2,1,2,0,5,2,75,75,70,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
49,15,4,4,1,2,1,3,2,35,35,35,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
50,16,2,2,3,2,0,4,2,60,65,65,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
51,15,4,2,1,2,0,5,2,55,65,65,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
52,15,4,2,2,1,1,5,6,55,55,50,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
53,15,4,4,1,1,0,5,0,40,50,55,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
54,15,3,3,1,1,0,1,6,50,65,65,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
